gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SAE-1 TPM,SAE-2 TPM,SAE-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SAE-1 Normalised Read Counts,SAE-2 Normalised Read Counts,SAE-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
FAM50B,4.72,4.27,4.89,3.57,3.71,4.29,103.3557249,96.39742585,103.7858551,86.60094951,88.5532318,100.1945719,1.102369018,Down,1
MYLK4,0.52,0.46,0.36,0.22,0.31,0.37,43.57153108,38.37179087,29.65310145,19.34702064,27.0868709,32.672143,1.410563772,Down,1
TBC1D7,21.38,20.76,22.47,22.5,20.49,22.06,274.601975,276.0897148,266.8779131,323.3716306,278.1613281,291.8711441,1.092752614,Up,1
FARS2,13.38,11.06,11.48,10.26,10,8.25,281.6950149,241.4615133,248.0976155,214.6598004,218.7785727,191.6765723,1.233768504,Down,0.999999999
GFOD1,1.04,0.86,1.07,1.31,1.22,1.1,105.3823077,75.80768441,103.7858551,117.9246972,110.4310891,116.5306434,1.210208257,Up,1
CDKAL1,8.12,8.02,7.67,7.5,7.27,6.8,345.5323744,341.6025285,326.184116,351.9315182,322.9588454,310.3853585,1.028461518,Down,1
PCDHB18P,0.19,0.06,0.17,0.16,0.09,0.28,8.106331364,2.807692015,3.95374686,0.921286697,3.125408181,4.356285733,1.766607908,Down,1
PSD2,0.27,0.34,0.39,0.14,0.24,0.19,17.22595415,21.52563878,24.71091788,9.212866969,16.66884363,13.0688572,1.628824678,Down,1
LRRTM2,3.84,3.22,3.3,4.85,4.81,4.82,229.003861,216.1922852,226.3520077,225.7152407,219.8203754,214.5470724,1.017368952,Down,1
ZMAT2,82.9,76.37,84.12,71.73,74,74.41,1543.192169,1499.663177,1510.331301,1376.605008,1367.991161,1365.956954,1.107681443,Down,0.999999978
KLHL3,7.01,8.27,8.93,4.01,3.53,3.95,599.868521,636.4101901,605.9117063,351.9315182,312.5408181,322.3651442,1.866735356,Down,0
DCDC2,0.1,0.04,0.06,0.71,0.92,0.84,6.079748523,1.871794677,2.965310145,15.66187385,23.96146272,33.76121443,6.70645241,Up,3.626E-06
SLC17A4,0.02,0,0,0.03,0,0,1.013291421,0,0,0.921286697,0,0,1.096716084,Down,1
TRIM7,0.34,0.23,0.2,0.7,0.62,0.93,7.093039944,4.679486692,1.97687343,9.212866969,9.376224544,10.89071433,2.141588582,Up,1
TRIM41,11.67,11.57,13.5,11.5,11.14,10.9,536.0311615,552.1794296,606.900143,549.0868714,509.4415335,547.8029309,1.05526739,Down,0.936598941
HIGD2A,117.33,107.18,119.27,103.71,93.25,97.94,815.6995935,751.5255627,826.3330938,787.7001259,718.8438817,746.0139318,1.062594809,Down,0.868018708
FAM193B,19.16,22.38,18.43,21.82,25.13,22.71,431.6621452,485.7307186,427.0046609,468.9349287,532.3611935,505.329145,1.120666782,Up,0.503396221
TNFRSF21,13.86,12.61,12.27,9.94,10.35,9.33,698.1577888,637.3460874,612.8307633,527.8972773,555.2808535,498.7947164,1.231580994,Down,7.7101E-05
RNF44,5.22,5.52,5.81,4.98,5.35,4.78,260.4158951,229.2948479,266.8779131,250.5899816,263.5760899,260.2880725,1.023612275,Up,1
MUT,26.29,26.46,27.04,22.6,21.28,21.65,1384.15608,1398.230624,1412.476066,1254.792481,1192.864122,1209.958362,1.14688353,Down,0.99997644
DOK3,0.6,1.03,0.8,1,1.36,1.33,16.21266273,13.10256274,14.82655073,18.42573394,31.25408181,37.02842873,1.96365761,Up,0.036955487
