gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SP-1 TPM,SP-2 TPM,SP-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SP-1 Normalised Read Counts,SP-2 Normalised Read Counts,SP-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
C9orf69,21.93,20.52,18.87,21.76,22.5,19.28,850.1613598,810.8923039,726.2531785,861.249133,863.0221924,756.440086,1.039125006,Up,0.994875004
OR7E7P,0.47,0.67,0.58,0.55,0.49,0.44,5.688203562,8.232216606,7.002441115,6.73434563,5.862922503,5.379314834,1.163622289,Down,1
GS1-309P15.4,0.05,0,0,0,0.06,0.04,1.023058195,0,0,0,1.172584501,0.8340023,1.93397365,Up,1
RP11-172F4.2,0,0,0.23,0,0,0.36,0,0,1.070373142,0,0,1.784764922,1.649226842,Up,0.942238153
RP11-342D11.2,0.47,1.29,1.84,0.35,1.5,1.41,4.092232779,11.38094462,16.00557969,3.112948673,12.89842951,12.5100345,1.103579618,Down,0.955982744
AC067940.1,0,0,0,0.64,0,0,0,0,0,1.037649558,0,0,35.58831859,Up,1
RP11-46F15.2,0.16,0.15,0.16,0.16,0.75,0,1.023058195,0.948412051,1.000348731,1.037649558,4.690338002,0,1.918166153,Up,0.913905129
RP11-229P13.19,0,0,0.14,0,0,0,0,0,1.000348731,0,0,0,34.34495769,Down,1
AC012360.6,0.04,0,0,0,0,0,1.023058195,0,0,0,0,0,35.10193982,Down,1
BX470102.3,2.67,1.69,2.41,2.51,0,0.65,13.29975653,8.535708463,12.00418477,12.45179469,0,3.336009199,2.141235913,Down,0.774018134
RP11-436D10.3,0,0.26,0.14,0,0,0.11,0,1.896824103,1.000348731,0,0,0.8340023,3.387922502,Down,1
SLC35E1P1,0.21,0,0,0,0,0.25,2.046116389,0,0,0,0,2.5020069,1.219588127,Up,0.886361564
RP11-656D10.3,0.17,0,0,0,0,0.13,1.023058195,0,0,0,0,0.8340023,1.218814111,Down,1
RP11-431K24.1,0.07,0,0,0,0,0,2.046116389,0,0,0,0,0,69.20387964,Down,1
SNORD97,0,0,0,0,0,0.4,0,0,0,0,0,0.08340023,3.780007666,Up,1
SCARNA7,19.23,21.42,20.51,14.32,19.19,14.05,39.89926959,45.52377847,43.01499542,29.05418762,39.86787302,31.69208739,1.276458155,Down,1
SCARNA12,0,0,0,1.11,0,0,0,0,0,1.390450407,0,0,47.34834691,Up,1
snoU109,6.1,0,0,0,0,0,1.023058195,0,0,0,0,0,35.10193982,Down,1
SNORD127,0,0,0,0,0,0,0,0,1.000348731,0,0,0,34.34495769,Down,1
SNORA59A,0,2.06,0,0,0,1.49,0,0.455237785,0,0,0,0.41700115,1.08554035,Down,1
AC093484.4,0,0,0.24,0,0,0.21,0,0,1.020355705,0,0,0.900722484,1.128538016,Down,1
NCK1-AS1,2.56,1.97,1.85,1.98,3.26,1.78,27.62257126,27.50394949,26.009067,28.01653806,45.73079552,25.8540713,1.227507958,Up,0.974055616
RPS20P22,0.12,0.78,0.43,0.31,0.35,0.88,2.046116389,7.587296411,5.001743654,5.188247789,5.862922503,6.672018399,1.210569335,Up,1
RP11-379K17.4,0,0,0,0.01,0,0.01,0,0,0,1.037649558,0,0.8340023,63.38839525,Up,1
RP11-464D20.2,0,0,0.31,0.3,0,0.25,0,0,1.170408015,1.120661522,0,0.992462737,1.785329848,Up,1
RN7SL589P,0,1.02,0,0.59,0,0,0,1.896824103,0,1.037649558,0,0,1.804734605,Down,0.947174643
RN7SL757P,0,0,0,0,0.69,0,0,0,0,0,1.172584501,0,40.08615002,Up,1
RPL23AP1,2.38,3.04,3.02,2.01,3.38,3.52,9.708822267,12.63284852,12.36431031,8.187055011,13.70751281,15.0120414,1.063352986,Up,1
TXNDC5,285.76,282.34,290.82,279.73,313.3,309.57,11638.00311,11516.69083,11611.48787,11612.6475,12591.56414,12493.38781,1.055554446,Up,0.983462618
RP11-384F7.2,5,4.05,2.63,3.9,3.56,3.04,26.59951306,21.81347718,14.00488223,20.75299116,18.76135201,16.680046,1.110690101,Down,1
RPL21P10,0,0,0.23,0,0,0,0,0,1.000348731,0,0,0,34.34495769,Down,1
RP11-271C24.3,0,0,0.28,0.3,0,0.23,0,0,1.000348731,1.037649558,0,0.8340023,1.845639055,Up,1
GATSL3,6.48,8.15,6.16,4.93,5.3,4.1,129.7851626,163.8097295,126.083954,98.555955,107.4673695,79.28025862,1.47094093,Down,0.034946721
RP5-867C24.1,0,0,0,0,0.26,0.09,0,0,0,0,2.345169001,0.8340023,106.9723767,Up,1
RNF103,26.27,27.84,30.1,31.18,31.95,27.53,1148.352132,1126.087565,1191.155248,1175.615443,1224.225122,1143.158612,1.022334856,Up,1
RBM14,14.23,12.47,13.27,14.64,15.12,15.35,395.6063733,395.6680237,356.7343609,412.3204283,400.8011081,415.7668265,1.070450239,Up,1
ATP6V1B1-AS1,0.22,0.07,0,0.27,0,0.07,3.069174584,0.948412051,0,3.0506897,0,0.8340023,1.033947661,Down,0.941532203
